inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2017-11-30,1,"PP Operaciones CxA",580,"Habichuelas Negra Seca (14oz) ",62.00,62.00,9.00
2017-11-30,1,"PP Operaciones CxA",581,"Pan Viga ( ver empaque )",199.00,199.00,2.00
2017-11-30,1,"PP Operaciones CxA",584,"Yogurt Natural (64oz)",156.76,156.76,0.00
2017-11-30,1,"PP Operaciones CxA",13025,"Ti Beronia Reserva (75cl)",858.33,858.33,3.00
2017-11-30,1,"PP Operaciones CxA",13025,"Ti Beronia Reserva (75cl)",858.33,858.33,2.10
2017-11-30,1,"PP Operaciones CxA",13026,"TI AAlto Duero (75cl)",1790.00,1790.00,7.00
2017-11-30,1,"PP Operaciones CxA",13027,"Ro Whispering Angel D'Esclans (75cl)",1015.00,1015.00,4.00
2017-11-30,1,"PP Operaciones CxA",13028,"BL Beronia Verdejo Rueda (75cl)",435.00,435.00,14.00
2017-11-30,1,"PP Operaciones CxA",13029,"TI Juan Gil Jumilla 12 M. (75cl)",762.00,762.00,0.00
2017-11-30,1,"PP Operaciones CxA",13029,"TI Juan Gil Jumilla 12 M. (75cl)",762.00,762.00,5.00
2017-11-30,1,"PP Operaciones CxA",13030,"TI Napa Six Eight Nine 689 (75cl)",975.00,975.00,3.00
2017-11-30,1,"PP Operaciones CxA",13030,"TI Napa Six Eight Nine 689 (75cl)",975.00,975.00,14.00
2017-11-30,1,"PP Operaciones CxA",13035,"TI Luca Syrah (75cl)",1185.00,1185.00,6.00
2017-11-30,1,"PP Operaciones CxA",13037,"TI  Simi Alexander Cabernet Sauv (75cl)",1405.00,1405.00,12.00
2017-11-30,1,"PP Operaciones CxA",13038,"BL Monkey Bay Sauv Bl (75cl)",765.00,765.00,1.00
2017-11-30,1,"PP Operaciones CxA",13039,"TI Piccini Chianti (75cl)",424.00,424.00,3.00
2017-11-30,1,"PP Operaciones CxA",13040,"TI Chateaneuf Du Pa Telegramme (75cl)",1500.00,1500.00,8.00
2017-11-30,1,"PP Operaciones CxA",13042,"CH Piper Heidsieck Brut Cuvee (75cl)",2499.00,2499.00,7.00
2017-11-30,1,"PP Operaciones CxA",13043,"TI Chianti Res. Nipozzano  (75cl)",1295.00,1295.00,6.00
2017-11-30,1,"PP Operaciones CxA",13044,"TI Pinot Noir Mark West (75cl)",755.00,755.00,2.00
2017-11-30,1,"PP Operaciones CxA",13045,"TI Pian Di Nova Toscana Il Borro (75cl)",925.83,925.83,5.00
2017-11-30,1,"PP Operaciones CxA",13047,"TI Louis Jadot Pinot Noir Borbougne (75cl)",875.00,875.00,0.00
2017-11-30,1,"PP Operaciones CxA",13047,"TI Louis Jadot Pinot Noir Borbougne (75cl)",875.00,875.00,5.00
2017-11-30,1,"PP Operaciones CxA",13048,"BL Louis Jadot Chablis (75cl)",970.00,970.00,7.00
2017-11-30,14,"Jalao SRL",13052,"Glucosa de maiz",0.00,0.00,2.00
2017-11-30,14,"Jalao SRL",13057,"Pan pumpernickel",82.60,82.60,5.00
2017-11-30,14,"Jalao SRL",13062,"Alcaparra roland (32oz)",57.06,57.06,0.00
2017-11-30,1,"PP Operaciones CxA",13063,"TI Barefoot Merlot (75cl)",293.55,293.55,0.00
2017-11-30,1,"PP Operaciones CxA",13063,"TI Barefoot Merlot (75cl)",293.55,293.55,4.00
2017-11-30,1,"PP Operaciones CxA",13063,"TI Barefoot Merlot (75cl)",293.55,293.55,0.00
2017-11-30,1,"PP Operaciones CxA",13064,"RO Barefoot White Zinfandel (75cl)",342.24,342.24,6.70
2017-11-30,1,"PP Operaciones CxA",13066,"TI Calvet Merlot Cab Sauv Res (75cl)",598.31,598.31,4.00
2017-11-30,1,"PP Operaciones CxA",13071,"BL Santa Helena Late Harvest (75cl)",407.47,407.47,1.00
2017-11-30,1,"PP Operaciones CxA",13071,"BL Santa Helena Late Harvest (75cl)",407.47,407.47,2.20
2017-11-30,1,"PP Operaciones CxA",13072,"TI Apothic Red (75cl)",758.24,758.24,2.00
2017-11-30,1,"PP Operaciones CxA",13072,"TI Apothic Red (75cl)",758.24,758.24,8.00
2017-11-30,1,"PP Operaciones CxA",13074,"TI Francis Coppola Diamond Claret (75cl)",1151.55,1151.55,7.00
2017-11-30,1,"PP Operaciones CxA",13074,"TI Francis Coppola Diamond Claret (75cl)",1151.55,1151.55,2.00
2017-11-30,1,"PP Operaciones CxA",13075,"TI Ridge Litton Springs (75cl)",1868.26,1868.26,9.00
2017-11-30,1,"PP Operaciones CxA",13076,"Ti Louis M. Sonoma Cab Sauv (75cl)",1048.06,1048.06,10.00
2017-11-30,1,"PP Operaciones CxA",13077,"TI Carnivor Cabernet Sauv (75cl)",720.62,720.62,2.00
2017-11-30,1,"PP Operaciones CxA",13077,"TI Carnivor Cabernet Sauv (75cl)",720.62,720.62,9.00
2017-11-30,1,"PP Operaciones CxA",13078,"TI Barefoot Cabernet Sauvignon (75cl)",293.55,293.55,0.00
2017-11-30,1,"PP Operaciones CxA",13078,"TI Barefoot Cabernet Sauvignon (75cl)",293.55,293.55,9.00
2017-11-30,1,"PP Operaciones CxA",13079,"TI William H. Cab Sauv (75cl)",748.78,748.78,4.00
2017-11-30,1,"PP Operaciones CxA",13079,"TI William H. Cab Sauv (75cl)",748.78,748.78,6.00
2017-11-30,1,"PP Operaciones CxA",13080,"TI Jordan Cabernet Sauv (75cl)",2715.98,2715.98,1.00
2017-11-30,1,"PP Operaciones CxA",13081,"TI Cousino Macul Res Cab (75cl)",603.05,603.05,4.00
2017-11-30,1,"PP Operaciones CxA",13081,"TI Cousino Macul Res Cab (75cl)",603.05,603.05,12.00
2017-11-30,1,"PP Operaciones CxA",13083,"TI 200 Monges Gran Reserva (75cl)",2412.40,2412.40,4.00
2017-11-30,1,"PP Operaciones CxA",13083,"TI 200 Monges Gran Reserva (75cl)",2412.40,2412.40,29.00
2017-11-30,1,"PP Operaciones CxA",13084,"TI Sela Bodegas (75cl)",1096.76,1096.76,2.00
2017-11-30,1,"PP Operaciones CxA",13084,"TI Sela Bodegas (75cl)",1096.76,1096.76,2.00
2017-11-30,1,"PP Operaciones CxA",13085,"TI Luis Caña Crianza (75cl)",504.64,504.64,1.00
2017-11-30,1,"PP Operaciones CxA",13085,"TI Luis Caña Crianza (75cl)",504.64,504.64,8.00
2017-11-30,1,"PP Operaciones CxA",13086,"TI Majuelo De Callejo (75cl)",1315.65,1315.65,3.00
2017-11-30,1,"PP Operaciones CxA",13087,"TI Mollydooker The Boxer Shiraz (75cl)",1647.11,1647.11,7.00
2017-11-30,1,"PP Operaciones CxA",13088,"TI Chianti Classico Il Perticato (75cl)",343.56,343.56,7.20
2017-11-30,1,"PP Operaciones CxA",13089,"BL Barefoot Pinot Grigio(75cl)",359.25,359.25,24.80
2017-11-30,1,"PP Operaciones CxA",13089,"BL Barefoot Pinot Grigio(75cl)",359.25,359.25,0.00
